Rank,Title,Year,IMDb Rating,Votes,Runtime,Certificate,Description,Link,min_age,is_16_plus,inferred_genres,primary_genre
228,Before Sunset,2004,8.1,305500,1h 20m,R,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse&apos;s book tour.",https://www.imdb.com/title/tt0381681/,17.0,True,[],Unknown
229,The Sound of Music,1965,8.1,280204,2h 52m,G,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,https://www.imdb.com/title/tt0059742/,0.0,False,[],Unknown
230,The Exorcist,1973,8.1,482881,2h 2m,R,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",https://www.imdb.com/title/tt0070047/,17.0,True,"['Drama', 'Mystery']",Drama
231,The Incredibles,2004,8.0,866374,1h 55m,PG,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",https://www.imdb.com/title/tt0317705/,10.0,False,"['Action', 'Drama']",Action
232,Hachi: A Dog's Tale,2009,8.1,331942,1h 33m,G,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker&apos;s loyal companion. As their bond grows deeper, a beautiful relationship un...",https://www.imdb.com/title/tt1028532/,0.0,False,"['Drama', 'Romance']",Drama
233,Rush,2013,8.1,541999,2h 3m,R,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",https://www.imdb.com/title/tt1979320/,17.0,True,[],Unknown
234,The Wizard of Oz,1939,8.1,454578,1h 42m,G,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others...",https://www.imdb.com/title/tt0032138/,0.0,False,['Fantasy'],Fantasy
235,The Passion of Joan of Arc,1928,8.1,65988,1h 54m,Passed,"In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions.",https://www.imdb.com/title/tt0019254/,,False,[],Unknown
236,Stand by Me,1986,8.1,469743,1h 29m,R,A writer recounts a childhood journey with his friends to find the body of a missing boy.,https://www.imdb.com/title/tt0092005/,17.0,True,['Drama'],Drama
237,A Silent Voice: The Movie,2016,8.1,126013,2h 10m,Not Rated,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to mak...",https://www.imdb.com/title/tt5323662/,,False,[],Unknown
238,The Iron Giant,1999,8.1,248829,1h 26m,PG,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,https://www.imdb.com/title/tt0129167/,10.0,False,['Sci-Fi'],Sci-Fi
239,My Father and My Son,2005,8.2,98344,1h 52m,Not Rated,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,https://www.imdb.com/title/tt0476735/,,False,"['Drama', 'War']",Drama
240,Network,1976,8.1,181306,2h 1m,R,"A television network cynically exploits a deranged former anchor&apos;s ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",https://www.imdb.com/title/tt0074958/,17.0,True,[],Unknown
241,The Handmaiden,2016,8.1,191893,2h 25m,Not Rated,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...",https://www.imdb.com/title/tt4016934/,,False,['Drama'],Drama
242,The Battle of Algiers,1966,8.1,72221,2h 1m,Not Rated,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",https://www.imdb.com/title/tt0058946/,,False,['Action'],Action
243,The Grapes of Wrath,1940,8.1,106130,2h 9m,Approved,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",https://www.imdb.com/title/tt0032551/,,False,"['Drama', 'War']",Drama
244,To Be or Not to Be,1942,8.1,47875,1h 39m,Approved,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.",https://www.imdb.com/title/tt0035446/,,False,"['Action', 'War']",Action
245,Into the Wild,2007,8.0,683787,2h 28m,R,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",https://www.imdb.com/title/tt0758758/,17.0,True,[],Unknown
246,Groundhog Day,1993,8.0,722733,1h 41m,PG,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",https://www.imdb.com/title/tt0107048/,10.0,False,[],Unknown
247,The Help,2011,8.1,517221,2h 26m,PG-13,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...",https://www.imdb.com/title/tt1454029/,10.0,False,[],Unknown
248,Drishyam,2015,8.2,103138,2h 43m,Not Rated,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",https://www.imdb.com/title/tt4430212/,,False,"['Drama', 'Crime']",Drama
249,Gangs of Wasseypur,2012,8.2,109337,5h 21m,Not Rated,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",https://www.imdb.com/title/tt1954470/,,False,[],Unknown
250,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,87633,1h 57m,TV-MA,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado&apos;s journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",https://www.imdb.com/title/tt11032374/,17.0,True,"['Drama', 'Crime', 'Horror']",Drama
